| 模块           | 用例名称                                                                                                                                                | 用例分级 | 用例类型 | 前置条件   | 执行步骤                                                                                                                                 | 预期结果                                                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：选中和取消选中来回点击切换，显示正确不卡顿                                                                                | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 点击时间标签进行选中和取消操作；3. 验证界面显示是否卡顿。                                                  | 选中和取消操作的界面显示正确，不卡顿。                                                                                    |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：全部单选，搜索成功                                                                                                        | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 单独选择时间标签进行搜索；3. 验证搜索结果是否成功。                                                        | 搜索结果正确显示。                                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：都不选中，搜索的是所有数据                                                                                                | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 确保时间标签都不选中；3. 点击搜索按钮，验证显示数据。                                                      | 显示所有数据。                                                                                                            |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：每个字段值，首字母大写                                                                                                    | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 检查时间标签中每个字段值的显示；3. 验证首字母是否大写。                                                    | 每个字段值首字母均大写。                                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：单选互斥，不可全部选中                                                                                                    | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 尝试同时选中多个时间标签；3. 验证是否相互制约不能全部选中。                                                | 时间标签为单选互斥，不能全部选中。                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：默认显示:Please select                                                                                                      | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 查看Status字段的默认值；3. 验证默认值是否显示为'Please select'。                                           | Status字段默认值显示为'Please select'。                                                                                   |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：进行中切页:显示Unsubmitted、In Review、Approved、Rejected、In Progress、In Transit、Trip Ended                              | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 在搜索框选择Status为进行中；3. 验证切页内容。                                                              | 切页显示Unsubmitted、In Review、Approved、Rejected、In Progress、In Transit、Trip Ended。                                 |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：已完成的切页:显示Retired、 Non-Clearabe、Closed                                                                             | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 在搜索框选择Status为已完成；3. 验证切页内容。                                                              | 切页显示Retired、 Non-Clearabe、Closed。                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：all切页:显示Unsubmitted、In Review、Approved、Rejected、In Progress、In Transit、Trip Ended、Retired、 Non-Clearabe、Closed | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 在搜索框选择Status为all；3. 验证切页内容。                                                                 | 切页显示Unsubmitted、In Review、Approved、Rejected、In Progress、In Transit、Trip Ended、Retired、 Non-Clearabe、Closed。 |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：单选互斥                                                                                                                    | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 在搜索框尝试同时选择多个Status选项；3. 验证选项选中状态。                                                  | 仅支持单选互斥，无法同时选择多个选项。                                                                                    |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：可选项排序固定且显示完整                                                                                                    | P2       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 打开Status下拉框；3. 验证可选项的顺序和显示内容。                                                          | 可选项排序固定且数据显示完整无缺失。                                                                                      |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：下拉框内容靠左对齐                                                                                                          | P2       | 功能用例 | 无         | 1. 登录差旅H5申请列表页面；2. 打开Status下拉框；3. 验证下拉框内容的对齐方式。                                                            | 下拉框内容靠左对齐，显示整齐。                                                                                            |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：切换不同选项，能够自由更换                                                                                                  | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 找到搜索条件中的Status选项；3. 切换Status的不同选项，查看是否可以成功切换。                                | 用户能够自由切换Status的不同选项，无卡顿或异常。                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Status：已选择状态后，再点击进入下拉框，自动定位已选择的状态且有明暗颜色区分                                                        | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 在搜索条件中选择一个Status；3. 再次点击Status下拉框，观察当前已选中状态。                                  | Status下拉框自动定位到当前已选择的状态，并显示明暗颜色区分。                                                              |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：默认显示“Please select”                                                                                                   | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 查看搜索条件中的Currency默认显示内容。                                                                     | Currency默认显示“Please select”。                                                                                         |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：点击展示选择下拉框，可选择USD、CNY                                                                                        | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击Currency下拉框；3. 查看是否显示可选项USD、CNY。                                                        | Currency下拉框中显示USD、CNY两个可选项。                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：是单选互斥                                                                                                                | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 依次尝试选择不同的Currency选项；3. 查看是否可以同时选中多个。                                              | Currency选项为单选互斥，不能同时选中多个。                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：可选项排序固定且显示完整                                                                                                  | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击Currency下拉框，查看所有选项的显示顺序及完整性。                                                       | Currency可选项顺序固定，均显示完整。                                                                                      |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：切换不同选项，能够自由更换                                                                                                | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 定位到Currency搜索项，并切换不同选项；3. 验证是否可以自由更换选项。                                        | 可以自由切换不同选项，显示内容正确。                                                                                      |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-Currency：已选择币种后，再点击进入，自动定位已选择的币种且有明暗颜色区分                                                            | P2       | 功能用例 | 已选择币种 | 1. 进入差旅H5申请列表页面；2. 定位到Currency搜索项，选择币种后点击其他位置并再返回；3. 验证已选币种是否高亮显示并能自动定位。            | 已选择的币种高亮显示并自动定位，明暗颜色区分明显。                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：搜索项为空，默认展示所有数据                                                                                                       | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 清空或保持搜索项为空；3. 点击“搜索”按钮并验证显示结果。                                                    | 默认展示所有数据，数据完整无误。                                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：搜索项维护正确，点击“搜索”，展示所有匹配数据                                                                                       | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 填写正确的搜索条件；3. 点击“搜索”验证匹配数据是否展示。                                                    | 展示符合搜索条件的所有匹配数据。                                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：条件组合搜索，搜索结果匹配多个条件                                                                                                 | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 输入多个搜索条件；3. 点击“搜索”按钮验证结果是否匹配多个条件。                                              | 展示符合所有输入条件的匹配数据。                                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：搜出匹配条件A的结果后再叠加条件B搜索                                                                                               | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 先使用条件A搜索，记录结果后再添加条件B并进行搜索；3. 验证最终搜索结果是否匹配A和B条件。                    | 最终展示的数据同时符合条件A和条件B。                                                                                      |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：搜索框模糊搜索，搜索成功且搜索结果响应时间在3s内                                                                                   | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表；2. 在搜索框输入关键词；3. 点击搜索按钮并检测响应时间。                                                            | 搜索结果显示正确，且响应时间小于3秒。                                                                                     |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：切换不同关键字/选项搜索，搜索结果刷新                                                                                              | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 输入不同的搜索关键词或选择项；3. 查看搜索结果是否刷新。                                                    | 搜索结果能够正确刷新。                                                                                                    |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：关键词前后输入空格，不影响正常匹配数据                                                                                             | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表模块；2. 在搜索框中输入带有前后空格的关键词；3. 点击搜索按钮。                                                      | 搜索结果能够正确匹配数据，不受空格影响。                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：点击输入所有搜索条件清空，日期标签还是默认“今年”                                                                                   | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击清空搜索条件按钮；3. 检查日期标签状态。                                                                | 所有输入条件清空，日期标签默认显示“今年”。                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：不输入直接点击不报异常，仍停留在弹框中                                                                                             | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击搜索按钮而不输入任何内容；3. 查看是否报异常并检查页面状态。                                            | 不会报异常，页面停留在搜索弹框中。                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：多次点击，显示正常                                                                                                                 | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 多次点击搜索按钮；3. 查看页面显示状态。                                                                    | 页面显示正常，没有出现报错或异常。                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：有了搜索条件后，切换列表，列表搜索条件清空                                                                                         | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 输入搜索条件；3. 切换列表后验证搜索条件是否清空。                                                          | 搜索条件清空，列表未保留搜索条件。                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-列表：该列表显示出差人为当前登录人的所有提交差旅单，包括自提和代提单据                                                                   | P0       | 功能用例 | 无         | 1. 登录系统并进入差旅H5申请列表页面；2. 查看页面上的差旅单据；3. 验证差旅单据的出差人员是否为当前登录人及是否包含自提和代提单据。        | 列表中显示的差旅单据的出差人为当前登录人，且包括自提和代提单据。                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表数据按默认按照创建时间倒序排列                                                                                             | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 观察列表数据的排列顺序；3. 验证排列是否为按创建时间倒序。                                                  | 列表数据默认按创建时间倒序排列。                                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-列表：列表显示Unsubmitted、Approved、Rejected、In transit、Trip Ended、Retired、Non-Clearable、Closed等状态的的差旅申请                  | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 查看列表中的所有状态信息；3. 验证是否包含所列的状态类型。                                                  | 列表中的差旅申请状态显示为Unsubmitted、Approved、Rejected、In transit、Trip Ended、Retired、Non-Clearable、Closed。       |
| 差旅H5申请列表 | 差旅H5申请列表-列表：列表没有分页，所有数据从上到下平铺显示，默认显示10条，往下滑自动加载，没有更多则底部显示“No More”                                  | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 下拉查看是否按规则自动加载数据；3. 验证底部显示内容是否符合规则。                                          | 列表平铺显示，默认显示10条数据，往下滑自动加载，没有更多则显示“No More”。                                                 |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上的“trip to xx”显示为创建页面的Request Name，文本，只读不可编辑                                                       | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 查看数据卡片上的“trip to xx”内容；3. 验证内容是否与Request Name一致且为只读不可编辑。                      | 数据卡片上的“trip to xx”显示为创建页面的Request Name，且为文本、只读不可编辑。                                            |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证若单据多次修改Request Name，卡片上此字段值显示为最新值                                                                         | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 对已有单据多次修改Request Name；3. 刷新页面，检查卡片上Request Name显示内容。                    | 卡片上的Request Name字段值显示为最新修改的值。                                                                            |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上的“description”显示为创建时填写的Trip Description                                                                    | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 打开一条数据卡片并验证description信息；3. 对比创建时填写的Trip Description。                     | 数据卡片上的description字段内容与创建时填写的Trip Description一致。                                                       |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上的Creation Time，显示差旅申请创建的时间                                                                              | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 检查展示的Creation Time；3. 确认时间为差旅申请创建时的记录。                                     | 数据卡片上的Creation Time字段显示内容为差旅申请创建时的时间。                                                             |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上的Creation Time，时间格式如:2025-01-01                                                                               | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 检查展示的Creation Time字段格式；3. 验证时间格式是否符合“YYYY-MM-DD”格式，如:2025-01-01。        | 数据卡片上的Creation Time以YYYY-MM-DD格式（如:2025-01-01）准确显示。                                                      |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上右下角的金额，显示为提交时申请的差旅费total，有千位符，保留两位小数                                                  | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 检查数据卡片右下角金额显示；3. 确认金额是否为提交时申请的差旅费total且具有千位符并保留两位小数。 | 数据卡片上右下角的金额为提交时申请的差旅费total，使用千位符并保留两位小数显示。                                           |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片上右下角的金额，多次修改金额，显示为最新金额数字                                                                       | P1       | 功能用例 | 无         | 1. 登录系统，进入差旅H5申请列表页面；2. 对已有单据的金额进行多次修改；3. 刷新页面，检查数据卡片右下角的金额字段显示内容。                | 数据卡片上右下角的金额字段值为最新修改的金额数字。                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证数据卡片左下角，显示当前单据的状态                                                                                             | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表模块；2. 打开列表页面；3. 检查数据卡片左下角，观察显示的状态值。                                                    | 数据卡片左下角准确显示当前单据的状态。                                                                                    |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证单据已被创建但未提交、或直接保存草稿，列表上单据状态为“Unsubmitted ”                                                           | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表模块；2. 打开列表页面查看未提交或保存草稿的单据；3. 验证单据状态是否显示为“Unsubmitted”。                           | 未提交或保存草稿的单据状态显示为“Unsubmitted”。                                                                           |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Unsubmitted ”，单据左滑，显示快捷操作按钮Discard                                                              | P1       | 功能用例 | 无         | 1. 登录差旅H5申请列表模块；2. 在列表页面左滑未提交的单据；3. 验证是否显示快捷操作按钮Discard。                                           | 未提交的单据左滑后，显示快捷操作按钮Discard。                                                                             |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证单据提交后在审批结束之前，列表上单据状态为“In Review ”                                                                         | P1       | 功能用例 | 无         | 1. 提交待审批的单据；2. 打开差旅H5申请列表模块；3. 验证单据状态是否显示为“In Review”。                                                   | 待审批单据的状态显示为“In Review”。                                                                                       |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“In Review ”，单据左滑，显示快捷操作按钮Discard                                                                | P1       | 功能用例 | 无         | 1. 提交待审批的单据；2. 在差旅H5申请列表模块左滑单据；3. 验证状态为“In Review”的单据是否显示快捷操作按钮Discard。                        | 状态为“In Review”的单据左滑后显示快捷操作按钮Discard。                                                                    |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证单据提交后被审批人（直接主管、一级主管）驳回，列表上单据状态为“Rejected”                                                       | P1       | 功能用例 | 无         | 1. 提交单据并等待审批；2. 在审批人驳回后打开差旅H5申请列表模块；3. 验证单据状态是否显示为“Rejected”。                                    | 被驳回的单据状态显示为“Rejected”。                                                                                        |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Rejected ”，单据左滑，显示快捷操作按钮Discard                                                                 | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 找到单据状态为“Rejected”的单据；3. 左滑单据，检查是否显示按钮Discard。                                     | 单据状态显示“Rejected”，左滑后显示快捷操作按钮Discard。                                                                   |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证当单据被所有审批人审批通过，列表上单据状态为“Approved”                                                                         | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 确保单据经过所有审批人审批；3. 检查列表上单据状态。                                                        | 单据状态显示“Approved”。                                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Approved ”，单据左滑，显示快捷操作按钮Finish Booking                                                          | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 找到单据状态为“Approved”的单据；3. 左滑单据，检查是否显示按钮Finish Booking。                              | 单据状态显示“Approved”，左滑后显示快捷操作按钮Finish Booking。                                                            |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证当流程结束的单据且当前时间到了行程开始时间，列表上单据状态为“In Transit ”                                                      | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 找到流程结束的单据；3. 检查当前时间是否为行程开始时间，验证单据状态。                                      | 单据状态显示“In Transit”。                                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“In Transit  ”，单据左滑，显示快捷操作按钮Discard                                                              | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 找到单据状态为“In Transit”的单据；3. 左滑单据，检查是否显示按钮Discard。                                   | 单据状态显示“In Transit”，左滑后显示快捷操作按钮Discard。                                                                 |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证当流程结束的单据，且当前时间过了结束时间，列表上单据状态为“Trip Ended”                                                         | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 找到流程结束的单据；3. 检查当前时间是否超过结束时间，验证单据状态。                                        | 单据状态显示“Trip Ended”。                                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Trip Ended ”，单据左滑，显示快捷操作按钮Non-Clearable 、Reimbursement                                         | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 查看列表中单据状态；3. 左滑单据，验证快捷操作按钮显示。                                                    | 列表上单据状态为“Trip Ended”，左滑时显示快捷操作按钮Non-Clearable、Reimbursement。                                        |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证当单据被废弃，则列表上单据状态为“Retired”                                                                                      | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 查看被废弃单据的状态。                                                                                     | 被废弃单据的状态显示为“Retired”。                                                                                         |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Retired ”，单据无法左滑                                                                                       | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 查看状态为“Retired”的单据；3. 尝试左滑该单据。                                                             | 状态为“Retired”的单据无法左滑操作。                                                                                       |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证当单据无需核销，点击“Non-Clearable”按钮，列表上单据状态为“Non-Clearable”                                                       | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击状态为“Trip Ended”单据的“Non-Clearable”按钮；3. 验证单据状态更新。                                     | 状态成功更新为“Non-Clearable”。                                                                                           |
| 差旅H5申请列表 | 差旅H5申请列表-列表：验证列表上单据状态为“Non-Clearable”，单据无法左滑                                                                                  | P0       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 查看状态为“Non-Clearable”的单据；3. 尝试左滑该单据。                                                       | 状态为“Non-Clearable”的单据无法左滑操作。                                                                                 |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击Discard按钮，出现二次确认废弃的弹窗                                                                                            | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击状态为“Trip Ended”单据的Discard按钮；3. 验证是否弹出二次确认窗口。                                     | 弹出二次确认废弃的弹窗。                                                                                                  |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击Discard弹框中的确定按钮，废弃成功，有提示。单据状态变为“Retired ”，可操作按钮更新                                              | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 点击Discard按钮；3. 在弹框中选择确定进行操作；4. 验证提示及单据状态。                                      | 废弃成功，有提示。单据状态变为“Retired ”，可操作按钮更新。                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击Discard弹框中的取消或“X”按钮，废弃无效，单据状态无变化，单据仍存在该列表                                                       | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 点击Discard按钮；3. 在弹框中选择取消或“X”操作；4. 验证单据状态与列表是否有变化。                           | 废弃无效，单据状态无变化，单据仍存在该列表。                                                                              |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击Finish Booking按钮，当前页面跳转至锐捷商旅页面，无需用户二次登录                                                               | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 点击Finish Booking按钮；3. 验证页面跳转行为。                                                              | 当前页面跳转至锐捷商旅页面，无需用户二次登录。                                                                            |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击Reimbursement按钮，当前页面跳转至差旅核销申请页面，本期不展示这个按钮                                                          | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 查找并点击Reimbursement按钮；3. 验证按钮功能及跳转行为。                                                   | 当前页面跳转至差旅核销申请页面（实际本期不展示这个按钮）。                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-列表：点击单据卡片，当前页跳转进入该单据的差旅申请详情页面，页面各字段同申请回显                                                         | P0       | 功能用例 | 无         | 1. 打开差旅H5申请列表页面；2. 点击单据卡片；3. 验证页面跳转及明细回显情况。                                                              | 当前页跳转进入该单据的差旅申请详情页面，页面各字段同申请回显。                                                            |
